Date,month_year,station_number,snow_depth,snow
2005-01-05,2005-01,725370,1.2000000476837158,True
2005-01-06,2005-01,725370,5.099999904632568,True
2005-01-07,2005-01,725370,5.099999904632568,False
2005-01-08,2005-01,725370,7.099999904632568,True
2005-01-09,2005-01,725370,5.900000095367432,True
2005-01-10,2005-01,725370,5.099999904632568,True
2005-01-11,2005-01,725370,7.099999904632568,True
2005-01-12,2005-01,725370,3.0999999046325684,True
2005-01-13,2005-01,725370,3.0999999046325684,True
2005-01-19,2005-01,725370,2.0,True
2005-01-20,2005-01,725370,1.2000000476837158,True
2005-01-21,2005-01,725370,1.2000000476837158,False
2005-01-22,2005-01,725370,11.800000190734863,True
2005-01-23,2005-01,725370,11.0,False
2005-01-24,2005-01,725370,9.100000381469727,False
2005-01-25,2005-01,725370,9.100000381469727,True
2005-01-26,2005-01,725370,7.900000095367432,True
2005-01-27,2005-01,725370,7.900000095367432,True
2005-01-28,2005-01,725370,7.099999904632568,False
2005-01-29,2005-01,725370,5.900000095367432,True
2005-01-30,2005-01,725370,5.099999904632568,False
2005-01-31,2005-01,725370,5.099999904632568,True
2005-02-01,2005-02,725370,3.9000000953674316,True
2005-02-02,2005-02,725370,3.9000000953674316,True
2005-02-03,2005-02,725370,3.0999999046325684,True
2005-02-04,2005-02,725370,3.0999999046325684,True
2005-02-05,2005-02,725370,2.0,True
2005-02-06,2005-02,725370,2.0,True
2005-02-07,2005-02,725370,1.2000000476837158,True
2005-02-09,2005-02,725370,2.0,True
2005-02-10,2005-02,725370,2.0,False
2005-02-11,2005-02,725370,1.2000000476837158,False
2005-02-12,2005-02,725370,1.2000000476837158,False
2005-02-16,2005-02,725370,1.2000000476837158,True
2005-02-17,2005-02,725370,1.2000000476837158,True
2005-02-20,2005-02,725370,5.099999904632568,True
2005-02-21,2005-02,725370,3.0999999046325684,True
2005-02-22,2005-02,725370,3.0999999046325684,True
2005-02-23,2005-02,725370,3.0999999046325684,True
2005-02-24,2005-02,725370,3.0999999046325684,False
2005-02-25,2005-02,725370,3.0999999046325684,True
2005-02-26,2005-02,725370,3.0999999046325684,True
2005-02-27,2005-02,725370,3.0999999046325684,False
2005-02-28,2005-02,725370,3.0999999046325684,True
2005-03-01,2005-03,725370,7.099999904632568,True
2005-03-02,2005-03,725370,5.900000095367432,True
2005-03-03,2005-03,725370,5.900000095367432,False
2005-03-04,2005-03,725370,5.099999904632568,False
2005-03-05,2005-03,725370,3.9000000953674316,True
2005-03-06,2005-03,725370,1.2000000476837158,False
2005-03-07,2005-03,725370,1.2000000476837158,False
2005-03-11,2005-03,725370,2.0,True
2005-03-12,2005-03,725370,1.2000000476837158,True
2005-03-23,2005-03,725370,2.0,True
2005-03-24,2005-03,725370,2.0,False
2005-04-24,2005-04,725370,2.0,True
2005-04-25,2005-04,725370,2.0,True
2005-12-09,2005-12,725370,5.900000095367432,True
2005-12-10,2005-12,725370,3.9000000953674316,False
2005-12-11,2005-12,725370,3.9000000953674316,True
2005-12-12,2005-12,725370,3.0999999046325684,False
2005-12-13,2005-12,725370,3.0999999046325684,False
2005-12-14,2005-12,725370,3.0999999046325684,True
2005-12-15,2005-12,725370,7.099999904632568,True
2005-12-16,2005-12,725370,7.099999904632568,True
2005-12-17,2005-12,725370,7.099999904632568,False
2005-12-18,2005-12,725370,5.900000095367432,True
2005-12-19,2005-12,725370,5.099999904632568,True
2005-12-20,2005-12,725370,5.099999904632568,False
2005-12-21,2005-12,725370,5.099999904632568,False
2005-12-22,2005-12,725370,3.9000000953674316,True
2005-12-23,2005-12,725370,3.0999999046325684,False
2005-12-24,2005-12,725370,2.0,True
2005-12-25,2005-12,725370,1.2000000476837158,True
2005-12-26,2005-12,725370,1.2000000476837158,True
2005-12-31,2005-12,725370,1.2000000476837158,True
2006-01-18,2006-01,725370,1.2000000476837158,True
2006-01-19,2006-01,725370,1.2000000476837158,False
2006-02-05,2006-02,725370,2.0,False
2006-02-11,2006-02,725370,1.2000000476837158,False
2006-02-12,2006-02,725370,1.2000000476837158,False
2006-02-13,2006-02,725370,1.2000000476837158,False
2006-03-25,2006-03,725370,1.2000000476837158,True
